requirement_id,status,milestone,evidence,notes
GOV-01,in-progress,2,evidence/m2-identity-group-calendar.md; evidence/m4-true-mvp-group-commands.md,Automated identity consent admission and authenticated Group-create contract evidence; device and operator rehearsal pending
GOV-02,in-progress,2,evidence/m2-identity-group-calendar.md; evidence/m4-true-mvp-group-commands.md,Automated invitation issue revoke capacity activation authorization and API contract evidence; device evidence pending
GOV-03,in-progress,2,evidence/m2-identity-group-calendar.md; evidence/m4-true-mvp-group-commands.md,Automated caller-safe leave admin removal cutoff return departure and API contract evidence; later-flow cleanup pending
GOV-04,in-progress,8,evidence/m5-true-mvp-account-deletion.md,Automated authoritative DB deletion transition cleanup governance idempotency API contract and named delivery evidence; hosted Auth retention UI and router/server pending
TIME-01,in-progress,2,evidence/m2-identity-group-calendar.md,Automated Group-zone DST activation and boundary evidence; device evidence pending
TIME-02,in-progress,4,evidence/m2-identity-group-calendar.md; evidence/m4-true-mvp-weekly-settlement.md,Schema cutoff foundation plus automated ended-week settlement evidence; broader target-product deadline flows deferred
TARGET-01,in-progress,2,evidence/m2-identity-group-calendar.md; evidence/m4-true-mvp-weekly-target.md,Automated activation-week target lock and authenticated next-target command evidence; client flow pending
TARGET-02,in-progress,2,evidence/m2-identity-group-calendar.md,Automated partial-week target and departure evidence; streak transitions pending
EXC-01,planned,4,,Exception evidence
WORK-01,in-progress,3,evidence/m3-workout-session.md; evidence/m3-true-mvp-workout-checkins.md; evidence/m4-true-mvp-api-contracts.md,Authoritative Workout-session lifecycle plus membership- and week-bounded True-MVP check-in and named delivery-entrypoint evidence
WORK-02,in-progress,3,evidence/m3-true-mvp-workout-checkins.md; evidence/m4-true-mvp-api-contracts.md,Immediate idempotent self-reported completion count and named Group-current-progress delivery evidence
WORK-03,planned,3,,Draft and offline evidence
VERIFY-01,planned,4,,Review decision evidence
VERIFY-02,in-progress,4,evidence/m4-true-mvp-weekly-settlement.md,True-MVP self-report settlement and exactly-once terminal outcome evidence; peer-review behavior deferred
MISS-01,in-progress,4,evidence/m4-true-mvp-weekly-settlement.md; evidence/m4-true-mvp-api-contracts.md,Automatic True-MVP missed-target settlement and named Group-visible finalized-history delivery evidence; consequences deferred
CARD-01,pass,5,evidence/m5-consequence-system.md,PostgreSQL-backed catalog fairness unlock persistence and unique contribution provenance passed independent review
CARD-02,pass,5,evidence/m5-consequence-system.md,PostgreSQL-backed unique offers redraw snapshots backlog cap Safety pause expiry and departure passed independent review
CARD-03,pass,5,evidence/m5-consequence-system.md,PostgreSQL-backed media-free claims review thresholds timeout idempotency and exactly-one completion passed independent review
SAFE-01,planned,8,,Safety and moderation evidence
MEDIA-01,planned,3,,Proof capture and visibility evidence
MEDIA-02,planned,3,,Proof retention and deletion evidence
COMP-01,in-progress,6,evidence/m6-activity-competition-seasons.md,Independent Codex validator iteration 4 passed aggregate-interface snapshot permission source sync interval and eligibility tests; physical-device source E2E and real PostgreSQL smoke pending
COMP-02,in-progress,6,evidence/m6-activity-competition-seasons.md,Independent Codex validator iteration 4 passed hand-calculated Top Steps Load Progression Cardio Leap baseline comparability rounding and tie tests; physical-device source contract and real PostgreSQL smoke pending
COMP-03,in-progress,6,evidence/m6-activity-competition-seasons.md,Independent Codex validator iteration 4 passed contested tie multi-award Exception departure late-data exactly-once Crown and Season-assignment job-order tests; physical-device E2E and real PostgreSQL smoke pending
SEASON-01,in-progress,6,evidence/m2-identity-group-calendar.md; evidence/m6-activity-competition-seasons.md,Independent Codex validator iteration 4 passed shortened activation below-capacity pause four-active-week boundary rollover delayed execution settlement overlap and tied-standing tests; real PostgreSQL smoke pending
SEASON-02,in-progress,6,evidence/m6-activity-competition-seasons.md; evidence/m7-read-models-notifications.md,Independent validators passed post-Crown summary isolation plus connected Home current active-Season rankings including zero-Crown ties; real PostgreSQL and physical-device UI evidence pending
SOCIAL-01,in-progress,7,evidence/m7-read-models-notifications.md,Independent validator iteration 2 passed connected task-first Home friend-activity ordering plus automated same-Group social authorization idempotency and outcome non-interference; authoritative Proof feed Wall and physical-device evidence pending
NOTIFY-01,in-progress,7,evidence/m7-read-models-notifications.md,Independent notification-center validator passed live caller-only unread/read grouping loading empty denied failure conflict prolonged pending safe stale-route recovery push-permission independence and read immutability; complete task sources offline cache deployment binding and physical-device evidence pending
NOTIFY-02,in-progress,7,evidence/m7-read-models-notifications.md,Independent notification-center validation passed alongside automated separate social and action civil-date budget bundle cap permission suppression canonical in-app persistence and push-independent visibility evidence; provider and physical-device evidence pending
ACCESS-01,in-progress,9,evidence/m1-shared-kernel.md; evidence/m2-mobile-auth.md,Navigation semantic shell plus automated local email OTP and secure session-state foundation; device and full flow evidence pending
ACCESS-02,planned,9,,Responsive and input evidence
ACCESS-03,planned,9,,Permission and degraded-path evidence
ACCESS-04,planned,9,,Privacy presentation evidence
OPS-01,in-progress,8,evidence/m1-shared-kernel.md,Operator shell separation evidence only
PILOT-01,planned,10,,Environment and operational evidence
PILOT-02,planned,10,,Recovery and deletion evidence
PILOT-03,planned,11,,Participant rehearsal evidence
PILOT-04,planned,12,,Reset and activation evidence
PILOT-05,planned,10,,Validation-measure reconciliation evidence
DIST-01,planned,11,,Distribution and country evidence
